Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,Capacitity Moist,Temp,Moist,EC (u/10 gram),Ph,Nitro (mg/10 g),Posh Nitro (mg/10 g),Pota Nitro (mg/10 g)
60_0ml,813.26,178.93,446.979,115.329,232.25,197.393,42.175,51.053,230.466,69.31,138.931,12.7,25.566,22.22,54.64,185.04,21.31,7.97,2646.7,37.6,0,0,7.476,0,0,0
60_25ml,701.767,140.66,352.032,91.941,169.845,159.707,25.167,29.205,137.425,40.68,88.168,8.337,17.395,17.15,35,109.918,13.83,6.464,2512.5,37.7,22.81,2.694,7.304,0.189,0.258,0.649
60_50ml,758.091,156.825,386.582,99.115,185.2,170.445,31.19,35.098,148.867,46.594,94.45,9.623,17.152,16.262,34.32,112.461,14.4,6.464,2347.4,37.8,27.66,3.627,7.216,0.236,0.319,0.808
63_0ml,851.268,185.63,459.851,118.448,236.9,200.83,32.602,40.253,214.863,58.195,125.868,11.557,24.594,21.415,52.079,175.537,22.122,7.881,2656.8,38.25,0,0,7.646,0,0,0
63_25ml,735.781,147.638,365.723,94.136,176.06,158.659,24.35,28.673,130.607,41.621,87.966,8.482,18.286,17.793,35.86,114.229,15.84,6.904,2360.9,38.3,8.65,1,7.304,0.1,0.14,0.36
63_50ml,731.546,147.35,366.178,92.022,172.318,163.641,36.979,46.962,171.402,59.815,76.2,9.587,18.286,15.782,35.774,94.785,16.13,6.376,2331.1,38.3,27.51,2.343,7.431,0.17,0.23,0.59
6_0ml,704.924,139.892,352.938,89.998,164.67,160.414,21.659,26.343,145.401,38.686,94.95,7.51,16.504,16.909,36.88,122.954,12.1,6.288,2336.4,35.2,27.1,2.691,7.076,0.19,0.256,0.649
6_25ml,688.768,135.015,339.696,89.999,158.905,159.57,23.16,27.04,114.769,38.04,75.402,7.583,15.208,15.299,29.03,90.919,12.1,6.375,2499.4,34.99,12.74,1.881,7.442,0.15,0.2,0.511
6_50ml,741.7,154.05,388.939,98.779,188.875,175.288,30.414,35.632,160.193,51.98,105.324,9.732,19.898,19.322,40.98,138.087,15.55,6.904,2627.3,34.57,0,0,7.747,0,0,0
76_0ml,840.113,188.308,465.746,116.088,233.075,201.532,38.44,44.344,210.934,60.982,141.228,11.558,26.214,25.199,53.532,187.359,19.126,7.614,2650.4,38,0,0,7.006,0,0,0
76_25ml,777.33,160.654,394.47,98.102,186.925,167.71,26.674,31.581,143.434,44.749,88.566,8.836,18.771,18.197,35.86,106.273,15.55,6.64,2626,38.09,16.53,2,7.266,0.15,0.21,0.53
76_50ml,828.188,171.85,435.638,98.608,196.59,182.164,26.766,30.72,151.063,41.772,98.838,8.553,20.869,20.609,40.385,127.265,15.55,6.376,2337.4,38.1,19.39,2.004,7.362,0.15,0.21,0.531
80_0ml,706.079,143.53,357.29,91.349,171.72,155.499,28.133,32.888,139.736,45.58,94.352,8.944,16.099,15.699,35,116.989,14.4,6.288,2663.2,38.3,0,0,7.12,0,0,0
80_25ml,670.843,130.514,324.64,82.821,150.14,141.606,20.243,23.197,94.197,33.52,67.223,6.548,12.616,13.206,25.61,76.999,11.52,5.933,2392.6,38.3,0.86,1.213,7.002,0.11,0.15,0.398
80_50ml,679.842,131.755,324.916,85.693,149.99,144.623,21.339,24.176,94.66,33.596,63.234,6.763,12.698,13.123,24.072,71.695,11.52,6.111,2344.4,38.3,25.86,2.404,7.22,0.17,0.238,0.598
8_0ml,791.178,167.45,419.405,107.814,208.28,182.726,29.59,36,197.988,50.622,138.634,10.054,23.541,22.059,49.52,193.543,17.974,7.08,2628.5,37.4,0,0,7.892,0,0,0
8_25ml,738.091,145.44,373.792,93.458,169.32,161.536,25.304,30.721,130.143,44.598,86.373,8.23,16.585,16.667,31.845,103.843,14.4,6.2,2357,37.4,12.6,1.644,8.012,0.135,0.18,0.47
8_50ml,722.239,143.72,359.013,89.407,164.595,153.674,24.757,28.02,126.214,38.911,86.073,8.122,15.532,16.183,34.065,108.594,13.25,6.2,2408.7,37.4,26.25,2.188,7.593,0.16,0.22,0.561
91_0ml,711.007,143.53,358.74,91.517,173.06,157.677,26.81,30.639,131.645,41.772,87.67,8.158,16.018,15.298,33.3,108.926,13.772,6.2,2632,36.3,0,0,7.634,0,0,0
91_25ml,669.534,130.13,323.92,84.764,149.84,145.044,20.245,22.828,93.389,31.83,59.644,6.62,12.94,13.204,23.9,69.045,11.349,6.2,2367.4,36.2,15.27,1.99,7.76,0.15,0.21,0.53
91_50ml,681.228,132.04,328.27,84.088,151.34,143.781,20.336,23.156,93.967,33.112,61.834,6.584,12.859,13.205,24.76,70.702,11.52,6.022,2312.3,36.3,21.53,2,7.822,0.15,0.21,0.53
96_0ml,786.561,169.075,424.308,103.591,205.355,179.639,28.819,34.32,171.059,47.46,110.91,9.337,21.921,20.369,44.39,151.457,17.28,6.992,2649.7,38.3,0,0,7.093,0,0,0
96_25ml,714.698,143.815,361.01,93.46,166.995,157.673,21.978,25.688,118.354,35.971,74.104,7.69,15.289,15.056,29.88,92.794,13.83,6.552,2589.4,38.39,19.66,2,7.584,0.15,0.21,0.53
96_50ml,672.845,130.61,320.656,85.102,152.09,139.992,24.896,26.795,121.588,37.366,72.507,8.158,13.102,13.768,30.645,92.575,12.67,6.11,2318.3,38.4,26.68,2.234,7.774,0.165,0.225,0.57
N-11_6_0ml,818.025,175.1,440.81,110.514,218.77,194.726,34.242,42.256,204.691,60.27,129.756,11.306,27.428,26.165,53.704,181.835,19.59,7.97,2643.5,37.2,0,0,7.899,0,0,0
N-11_6_25ml,746.012,148.31,370.803,94.051,175.535,161.954,23.941,28.509,130.72,41.544,88.869,7.798,18.448,18.678,35.86,114.004,14.4,6.728,2525,37.3,12.33,1.879,7.884,0.15,0.2,0.51
N-11_6_50ml,732.547,142.57,359.282,88.9,165.495,157.605,23.209,26.754,141.702,38.458,87.768,7.906,18.934,18.838,38.505,120.636,13.83,6.376,2406.1,37.4,24.2,2.012,6.999,0.15,0.21,0.533
N-14_15_0ml,770.555,161.038,405.623,102.156,196.29,175.637,33.788,41.237,173.256,58.343,109.612,10.659,20.141,18.599,42.69,143.501,17.396,7.169,2649.1,37.3,0,0,7.554,0,0,0
N-14_15_25ml,701.081,135.49,341.06,89.239,160.105,153.115,23.618,27.819,112.229,39.588,70.813,7.762,14.722,14.41,28.858,87.937,12.844,6.288,2369.7,37.39,9.79,1.277,7.791,0.108,0.153,0.387
N-14_15_50ml,729.624,139.125,343.053,92.445,167.07,155.921,26.948,31.95,121.126,43.053,74.103,8.481,15.451,15.299,30.645,94.01,13.83,6.288,2312.4,37.4,29.04,2.402,7.78,0.17,0.238,0.6
